Filename                                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/jon/llvm-project/clang/include/clang/AST/TemplateBase.h                                                       132               132     0.00%          76                76     0.00%         233               233     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/AST/TemplateName.h                                                        89                89     0.00%          42                42     0.00%         120               120     0.00%          18                18     0.00%
home/jon/llvm-project/clang/include/clang/AST/TextNodeDumper.h                                                      24                24     0.00%           4                 4     0.00%          64                64     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/AST/Type.h                                                              2214              2214     0.00%         965               965     0.00%        2967              2967     0.00%         960               960     0.00%
home/jon/llvm-project/clang/include/clang/AST/TypeLoc.h                                                            662               662     0.00%         428               428     0.00%        1356              1356     0.00%         162               162     0.00%
home/jon/llvm-project/clang/include/clang/AST/TypeLocVisitor.h                                                    1003              1003     0.00%           4                 4     0.00%          22                22     0.00%         236               236     0.00%
home/jon/llvm-project/clang/include/clang/AST/TypeOrdering.h                                                         9                 9     0.00%           9                 9     0.00%          29                29     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/TypeVisitor.h                                                        380               380     0.00%           3                 3     0.00%          12                12     0.00%         116               116     0.00%
home/jon/llvm-project/clang/include/clang/AST/UnresolvedSet.h                                                       40                40     0.00%          35                35     0.00%          58                58     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/AST/VTTBuilder.h                                                          16                16     0.00%          12                12     0.00%          29                29     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/AST/VTableBuilder.h                                                      136               136     0.00%          54                54     0.00%         220               220     0.00%          52                52     0.00%
home/jon/llvm-project/clang/include/clang/ASTMatchers/ASTMatchFinder.h                                              10                10     0.00%          10                10     0.00%          36                36     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/ASTMatchers/ASTMatchers.h                                                622               622     0.00%         245               245     0.00%        1188              1188     0.00%         406               406     0.00%
home/jon/llvm-project/clang/include/clang/ASTMatchers/ASTMatchersInternal.h                                        286               286     0.00%         159               159     0.00%         727               727     0.00%          74                74     0.00%
home/jon/llvm-project/clang/include/clang/ASTMatchers/ASTMatchersMacros.h                                           28                28     0.00%          22                22     0.00%          61                61     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/CalledOnceCheck.h                                        8                 8     0.00%           8                 8     0.00%           8                 8     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/Consumed.h                                              23                23     0.00%          16                16     0.00%          20                20     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/Dominators.h                                            56                56     0.00%          24                24     0.00%         109               109     0.00%          22                22     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/IntervalPartition.h                                      5                 5     0.00%           5                 5     0.00%          16                16     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/LiveVariables.h                                         13                13     0.00%           7                 7     0.00%          12                12     0.00%           0                 0         -
